initialRadius viscosity absortionCoeff qvisc_avg qus_avg
3.1622776602e-08 1.0000000000e-03 4.5108159376e-02 1.2774085420e-12 1.075036e-27
2.3713737057e-07 1.0000000000e-03 4.5108159376e-02 6.3871111665e-04 6.187082e-08
1.7782794100e-06 1.0000000000e-03 4.5108159376e-02 4.3437442395e-04 9.464204e-09
1.3335214322e-05 1.0000000000e-03 4.5108159376e-02 2.5005523262e-04 4.126106e-09
1.0000000000e-04 1.0000000000e-03 4.5108159376e-02 4.1198975669e-05 3.149907e-07
3.1622776602e-08 4.5972698853e-03 2.0737438268e-01 5.8636382722e-12 3.254973e-27
2.3713737057e-07 4.5972698853e-03 2.0737438268e-01 2.9995659880e-03 3.353385e-07
1.7782794100e-06 4.5972698853e-03 2.0737438268e-01 1.6543883406e-03 5.702299e-09
1.3335214322e-05 4.5972698853e-03 2.0737438268e-01 1.0952154477e-03 1.668199e-08
1.0000000000e-04 4.5972698853e-03 2.0737438268e-01 1.8884372065e-04 1.446970e-06
3.1622776602e-08 2.1134890398e-02 9.5335600448e-01 2.6274987590e-11 1.193622e-26
2.3713737057e-07 2.1134890398e-02 9.5335600448e-01 6.1632543336e-03 1.148113e-07
1.7782794100e-06 2.1134890398e-02 9.5335600448e-01 1.1484949726e-02 8.717224e-08
1.3335214322e-05 2.1134890398e-02 9.5335600448e-01 5.8306817355e-03 4.440315e-08
1.0000000000e-04 2.1134890398e-02 9.5335600448e-01 8.5679489779e-04 6.628635e-06
3.1622776602e-08 9.7162795158e-02 4.3828348494e+00 9.5846814446e-11 2.783013e-26
2.3713737057e-07 9.7162795158e-02 4.3828348494e+00 5.5564812868e-06 1.022390e-16
1.7782794100e-06 9.7162795158e-02 4.3828348494e+00 2.3352091226e-03 9.961884e-11
1.3335214322e-05 9.7162795158e-02 4.3828348494e+00 2.1276928200e-02 7.611126e-08
1.0000000000e-04 9.7162795158e-02 4.3828348494e+00 3.7361348663e-03 3.001154e-05
3.1622776602e-08 4.4668359215e-01 2.0149074665e+01 1.8112084614e-10 2.535207e-26
2.3713737057e-07 4.4668359215e-01 2.0149074665e+01 2.1691531255e-07 1.087778e-19
1.7782794100e-06 4.4668359215e-01 2.0149074665e+01 1.0348325331e-04 1.792783e-13
1.3335214322e-05 4.4668359215e-01 2.0149074665e+01 2.6387345013e-02 1.014139e-07
1.0000000000e-04 4.4668359215e-01 2.0149074665e+01 1.4818559055e-02 1.308389e-04
